NOID;FORANDRING;KARTERINGS;KOMMENTAR;KOMPLEX;NATURTYP;NATURTYPSS;NNK_KOMMEN;REDIGERARE;REDIGERATA;REDIGERATG;SKAPATDATU;TOPOLOGIFE;URSPRUNG;MALNATUR1;MALNATUR2;MALNATUR3;OBJECTID;NATURTYPKO;radid;area_ha;SITECODE;OMRADE;BEVPLAN;overlapp_ha;andel_inom;antal_omraden
F516CBE6-351C-4AF2-90F5-DA124658674C;0;1 - Ej Granskad;;0;8920 - Gles hällmarktallskog, < 30% krontäckning;5 - Ej bedömd status;;;;;2016-08-15;0;NNK;0;0;0;176183161;8920;0;0.209;;;;;;
5EDD3D42-33FB-406E-B37C-90192FE5C4BB;0;2 - Granskad vid skrivbordet;;0;9900 - Icke-natura skog;5 - Ej bedömd status;;;2008-06-16;2008-06-16;2012-09-27;0;BIDOS;0;0;0;176183171;9900;1;0.038;;;;;;
C9445E56-0793-4EE7-8148-C6CC18D32035;0;1 - Ej Granskad;;0;3100 - Sjö;5 - Ej bedömd status;;;;;2018-03-27;0;NNK;0;0;0;176183219;3100;2;0.0;;;;;;
43A0371E-3167-43D0-920C-F80802BD4766;0;2 - Granskad vid skrivbordet;;0;8920 - Gles hällmarktallskog, < 30% krontäckning;5 - Ej bedömd status;;;2008-06-16;2008-06-16;2012-09-27;0;BIDOS;0;0;0;176183231;8920;3;0.251;SE0220129;Skärgårdsreservaten;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286056;0.251;1.0;1.0
D499EBD9-357F-4F92-B0B1-8DB729FA8CA1;0;1 - Ej Granskad;;0;7999 - Våtmark, ickenatura-naturtyp;5 - Ej bedömd status;;;;;2014-08-07;0;NNK;0;0;0;176183331;7999;4;0.084;;;;;;
CADAD7DE-A92D-418B-A137-CB5CB71C322A;0;2 - Granskad vid skrivbordet;;0;9925 - Icke-natura skog - Fuktig / blöt mark;5 - Ej bedömd status;;;2008-06-16;2008-06-16;2012-09-27;0;BIDOS;0;0;0;176183260;9925;5;0.306;SE0220129;Skärgårdsreservaten;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286056;0.306;1.0;1.0
C0592550-1655-4616-9921-8DAB1B5DAC13;0;2 - Granskad vid skrivbordet;;0;6910 - Öppen kultiverad gräsmark;5 - Ej bedömd status;;;2009-02-25;2009-02-25;2012-09-27;0;BIDOS;0;0;0;176183268;6910;6;0.145;SE0220305;Floda-Kyrksjön;https://geodata.naturvardsverket.se/handlingar/rest/dokument/285790;0.145;1.0;1.0
2445D8E4-76DC-44F9-906B-0FA2F5C66FD3;0;1 - Ej Granskad;;0;6960 - Öppen icke-natura-naturyp;5 - Ej bedömd status;;;2011-12-20;2011-12-20;2012-09-27;0;BIDOS;0;0;0;176183276;6960;7;1.438;SE0220303;Båven;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286058;1.438;1.0;1.0
2A58BF65-5BFB-42B4-9BA2-69A0C92BB2D5;0;2 - Granskad vid skrivbordet;;0;6000 - Gräsmarker, substratdominerade gräsmarker och alluviala gräsmarker nedanför barrskogsgrä;5 - Ej bedömd status;;;2008-06-16;2008-06-16;2012-09-27;0;BIDOS;0;0;0;176183293;6000;8;1.295;SE0220126;Nynäs;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286069;1.295;1.0;1.0
2B2D9B6A-5DCF-403C-BA1C-13A0B9BB05F6;0;2 - Granskad vid skrivbordet;;0;9740 - Skogbevuxen myr (91D0);5 - Ej bedömd status;;;2008-06-16;2008-06-16;2012-09-27;0;BIDOS;0;0;0;176183368;9740;9;2.715;;;;;;
9A8DCE13-6DE6-489F-9259-95D13088AA98;0;2 - Granskad vid skrivbordet;;0;9900 - Icke-natura skog;5 - Ej bedömd status;;;2009-01-13;2009-01-13;2012-09-27;0;BIDOS;0;0;0;176183411;9900;10;4.461;;;;;;
6D7BB845-9307-4D68-8A57-728D5BF31E05;0;2 - Granskad vid skrivbordet;;0;8920 - Gles hällmarktallskog, < 30% krontäckning;5 - Ej bedömd status;;;2008-06-16;2008-06-16;2012-09-27;0;BIDOS;0;0;0;176183477;8920;11;4.298;;;;;;
B2C95794-CEE0-4380-9FC6-D82AC3D9D3E0;0;2 - Granskad vid skrivbordet;;0;6910 - Öppen kultiverad gräsmark;5 - Ej bedömd status;;;2008-06-16;2008-06-16;2012-09-27;0;BIDOS;0;0;0;176183719;6910;12;1.246;SE0220129;Skärgårdsreservaten;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286056;1.246;1.0;1.0
50F2FD6C-4EA5-4524-800A-683967BB56B9;0;1 - Ej Granskad;;0;9830 - Obestämd Näringsrik granskog/Taiga (9050, 9010);5 - Ej bedömd status;;;;;2017-01-24;0;NNK;0;0;0;176183741;9830;13;1.969;;;;;;
08AA969C-D8EC-40E8-B8EC-C6D74445D866;0;2 - Granskad vid skrivbordet;;0;4810 - Obestämd torr-frisk hed/gräsmark nedanför trädgränsen (4810);5 - Ej bedömd status;;;2008-06-16;2008-06-16;2012-09-27;0;BIDOS;0;0;0;176183823;4810;14;0.281;SE0220129;Skärgårdsreservaten;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286056;0.281;1.0;1.0
22FCFC74-3F6C-4FB2-86DC-5623AD292FB4;0;1 - Ej Granskad;;0;6930 - Åker;5 - Ej bedömd status;;;;;2017-01-24;0;NNK;0;0;0;176183919;6930;15;0.276;;;;;;
