sitecode;namn;omradestyp;areal_ha;dokument_id;dokument_typ;dokument_namn;mime;url;lokal_fil;status;storlek_byte
SE0220009;Stora Bötet;SCI;421.8;285802;Bevarandeplan;Stora Bötet_SE0220009.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/285802;docs/skyddadnatur/natura2000/dokument/SE0220009_Bevarandeplan_Stora Bötet_SE0220009.pdf;ok;5232811
SE0220011;Bärstakärret;SCI;5.1;253916;Bevarandeplan;Bevarandeplan SE0220011.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253916;docs/skyddadnatur/natura2000/dokument/SE0220011_Bevarandeplan_Bevarandeplan SE0220011.pdf;ok;4287542
SE0220012;Nävsjöskogen;SCI;5.0;253917;Bevarandeplan;Bevarandeplan SE0220012.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253917;docs/skyddadnatur/natura2000/dokument/SE0220012_Bevarandeplan_Bevarandeplan SE0220012.pdf;ok;4315865
SE0220013;Ängbacken;SCI;3.7;253918;Bevarandeplan;Bevarandeplan SE0220013.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253918;docs/skyddadnatur/natura2000/dokument/SE0220013_Bevarandeplan_Bevarandeplan SE0220013.pdf;ok;4257890
SE0220017;Svanviken-Lindbacke;SPA/SCI;122.0;267306;Bevarandeplan;Svanviken-Lindbacke_SE0220017.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/267306;docs/skyddadnatur/natura2000/dokument/SE0220017_Bevarandeplan_Svanviken-Lindbacke_SE0220017.pdf;ok;5222025
SE0220020;Strandstuviken;SPA/SCI;989.6;286077;Bevarandeplan;Strandstuviken_SE0220020.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286077;docs/skyddadnatur/natura2000/dokument/SE0220020_Bevarandeplan_Strandstuviken_SE0220020.pdf;ok;382803
SE0220021;Sjösakärren;SCI;23.2;267297;Bevarandeplan;Sjösakärren_SE0220021.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/267297;docs/skyddadnatur/natura2000/dokument/SE0220021_Bevarandeplan_Sjösakärren_SE0220021.pdf;ok;4478078
SE0220028;Hävringe-Källskären;SCI;11104.5;286063;Bevarandeplan;Hävringe-Källskären_SE0220028.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286063;docs/skyddadnatur/natura2000/dokument/SE0220028_Bevarandeplan_Hävringe-Källskären_SE0220028.pdf;ok;196594
SE0220034;Tullgarn södra;SPA/SCI;2014.2;286080;Bevarandeplan;Tullgarn södra_SE0220034.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/286080;docs/skyddadnatur/natura2000/dokument/SE0220034_Bevarandeplan_Tullgarn södra_SE0220034.pdf;ok;648825
SE0220059;Grindstugan;SCI;0.91;253919;Bevarandeplan;Bevarandeplan SE0220059.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253919;docs/skyddadnatur/natura2000/dokument/SE0220059_Bevarandeplan_Bevarandeplan SE0220059.pdf;ok;4332784
SE0220063;Sparreholms ekhagar;SCI;88.0;253920;Bevarandeplan;Bevarandeplan SE0220063.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253920;docs/skyddadnatur/natura2000/dokument/SE0220063_Bevarandeplan_Bevarandeplan SE0220063.pdf;ok;4515807
SE0220069;Putbergen;SCI;14.5;253921;Bevarandeplan;Bevarandeplan SE0220069.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253921;docs/skyddadnatur/natura2000/dokument/SE0220069_Bevarandeplan_Bevarandeplan SE0220069.pdf;ok;4545056
SE0220072;Stampmossen;SCI;12.2;267301;Bevarandeplan;Stampmossen_SE0220072.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/267301;docs/skyddadnatur/natura2000/dokument/SE0220072_Bevarandeplan_Stampmossen_SE0220072.pdf;ok;4610082
SE0220077;Ridö-Sundbyholmsarkipelagen södra;SPA/SCI;2939.5;366850;Bevarandeplan;Ridö Sundbyholmsarkipelagen_SE0220077   Ridöarkipelagen_SE0250008.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/366850;docs/skyddadnatur/natura2000/dokument/SE0220077_Bevarandeplan_Ridö Sundbyholmsarkipelagen_SE0220077 Ridöarkipelagen_SE0250008.pdf;ok;6409476
SE0220078;Sofiebergsåsen;SCI;8.7;253922;Bevarandeplan;Bevarandeplan SE0220078.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253922;docs/skyddadnatur/natura2000/dokument/SE0220078_Bevarandeplan_Bevarandeplan SE0220078.pdf;ok;4425929
SE0220083;Nybbleholme;SCI;42.9;253923;Bevarandeplan;Bevarandeplan SE0220083.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253923;docs/skyddadnatur/natura2000/dokument/SE0220083_Bevarandeplan_Bevarandeplan SE0220083.pdf;ok;4094250
SE0220085;Gripsholms Hjorthage;SCI;48.6;253924;Bevarandeplan;Bevarandeplan SE0220085.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253924;docs/skyddadnatur/natura2000/dokument/SE0220085_Bevarandeplan_Bevarandeplan SE0220085.pdf;ok;4271341
SE0220087;Söderfjärden;SPA/SCI;209.2;285804;Bevarandeplan;Söderfjärden_SE0220087.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/285804;docs/skyddadnatur/natura2000/dokument/SE0220087_Bevarandeplan_Söderfjärden_SE0220087.pdf;ok;4881169
SE0220088;Herröknanäs;SCI;33.8;267274;Bevarandeplan;Herröknanäs_SE0220088.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/267274;docs/skyddadnatur/natura2000/dokument/SE0220088_Bevarandeplan_Herröknanäs_SE0220088.pdf;ok;4259906
SE0220089;Tuna;SCI;3.4;253925;Bevarandeplan;Bevarandeplan SE0220089.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253925;docs/skyddadnatur/natura2000/dokument/SE0220089_Bevarandeplan_Bevarandeplan SE0220089.pdf;ok;4275102
SE0220103;Pilgöljan;SCI;8.8;253926;Bevarandeplan;Bevarandeplan SE0220103.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253926;docs/skyddadnatur/natura2000/dokument/SE0220103_Bevarandeplan_Bevarandeplan SE0220103.pdf;ok;4521105
SE0220104;Sågartorpskärret;SCI;6.1;253927;Bevarandeplan;Bevarandeplan SE0220104.pdf;application/pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/253927;docs/skyddadnatur/natura2000/dokument/SE0220104_Bevarandeplan_Bevarandeplan SE0220104.pdf;ok;4566811
SE0220106;Fjällmossen norra;SPA/SCI;304.1;285789;Bevarandeplan;Fjällmossen norra_SE0220106.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/285789;docs/skyddadnatur/natura2000/dokument/SE0220106_Bevarandeplan_Fjällmossen norra_SE0220106.pdf;ok;5196471
SE0220110;Skåraviken;SPA/SCI;316.0;285799;Bevarandeplan;Skåraviken_SE0220110.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/285799;docs/skyddadnatur/natura2000/dokument/SE0220110_Bevarandeplan_Skåraviken_SE0220110.pdf;ok;5941811
SE0220115;Marsviken-Marsäng;SCI;121.8;267288;Bevarandeplan;Marsviken-Marsäng_SE0220115.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/267288;docs/skyddadnatur/natura2000/dokument/SE0220115_Bevarandeplan_Marsviken-Marsäng_SE0220115.pdf;ok;4070411
SE0220118;Labro ängar;SPA/SCI;81.6;285794;Bevarandeplan;Labro ängar_SE0220118.pdf;.pdf;https://geodata.naturvardsverket.se/handlingar/rest/dokument/285794;docs/skyddadnatur/natura2000/dokument/SE0220118_Bevarandeplan_Labro ängar_SE0220118.pdf;ok;4450694
