faltid;lan;kommun;areal_ha;markslag;inventeringsdatum;fastighet;objektrapport_ui;objektrapport_api;lokal_json
003-000;Södermanland;Katrineholm;0.51;Bete;2002-06-26;Kvarntorp 1;https://etjanst.sjv.se/tuvaut/?f=&id=003-000;https://etjanst.sjv.se/hagenpub/rest/base/object/003-000;docs/tuva/sodermanland/objektrapporter/003-000.json
004-QTF;Södermanland;Nyköping;2.75;Bete;2002-07-19;Rogstatorp;https://etjanst.sjv.se/tuvaut/?f=&id=004-QTF;https://etjanst.sjv.se/hagenpub/rest/base/object/004-QTF;docs/tuva/sodermanland/objektrapporter/004-QTF.json
004-SQW;Södermanland;Nyköping;0.35;Bete;2004-09-22;Ringsö 2;https://etjanst.sjv.se/tuvaut/?f=&id=004-SQW;https://etjanst.sjv.se/hagenpub/rest/base/object/004-SQW;docs/tuva/sodermanland/objektrapporter/004-SQW.json
008-HHG;Södermanland;Flen;0.86;Bete;2004-07-07;Starrkärr;https://etjanst.sjv.se/tuvaut/?f=&id=008-HHG;https://etjanst.sjv.se/hagenpub/rest/base/object/008-HHG;docs/tuva/sodermanland/objektrapporter/008-HHG.json
008-SYS;Södermanland;Nyköping;1.27;Bete;2002-07-08;Bäcketorp;https://etjanst.sjv.se/tuvaut/?f=&id=008-SYS;https://etjanst.sjv.se/hagenpub/rest/base/object/008-SYS;docs/tuva/sodermanland/objektrapporter/008-SYS.json
00E-ACP;Södermanland;Nyköping;0.34;Bete;2003-06-26;Valsta 2;https://etjanst.sjv.se/tuvaut/?f=&id=00E-ACP;https://etjanst.sjv.se/hagenpub/rest/base/object/00E-ACP;docs/tuva/sodermanland/objektrapporter/00E-ACP.json
00E-CKM;Södermanland;Flen;5.62;Bete;2004-07-08;Pumpedal 1;https://etjanst.sjv.se/tuvaut/?f=&id=00E-CKM;https://etjanst.sjv.se/hagenpub/rest/base/object/00E-CKM;docs/tuva/sodermanland/objektrapporter/00E-CKM.json
00E-FDJ;Södermanland;Nyköping;7.36;Restaurerbar;2004-06-19;Aspa;https://etjanst.sjv.se/tuvaut/?f=&id=00E-FDJ;https://etjanst.sjv.se/hagenpub/rest/base/object/00E-FDJ;docs/tuva/sodermanland/objektrapporter/00E-FDJ.json
00E-FOL;Södermanland;Katrineholm;0.96;Bete;2004-08-25;tjugesta 2;https://etjanst.sjv.se/tuvaut/?f=&id=00E-FOL;https://etjanst.sjv.se/hagenpub/rest/base/object/00E-FOL;docs/tuva/sodermanland/objektrapporter/00E-FOL.json
00F-200;Södermanland;Eskilstuna;3.77;Bete;2002-05-17;Hedtorp3;https://etjanst.sjv.se/tuvaut/?f=&id=00F-200;https://etjanst.sjv.se/hagenpub/rest/base/object/00F-200;docs/tuva/sodermanland/objektrapporter/00F-200.json
